group	marker	posi	group_Americain	posi_physique
1B	Cluster_7175|Contig7|original@533	37.5	NA	NA
1B	Cluster_7175|Contig7|original@467	38.8	NA	NA
2A	Cluster_7180|Contig1|original@359	158.8	2A	19274165
3B	Cluster_7183|Contig1|complementarySeq@672	171.6	3B	127039979
3A	Cluster_7183|Contig1|likelySeq@407	154	3A	160134013
5B	Cluster_719|Contig3|original@2805	214.5	5B	246931561
4B	Cluster_7195|Contig2|original@316	80.1	4B	67390039
6A	Cluster_7199|Contig1|original@1861	75.3	6A	135432345
6B	Cluster_7199|Contig2|original@1641	83.1	6B	132764268
7A	Cluster_72|Contig1|original@377	266.5	NA	NA
7B	Cluster_72|Contig2|original@2968	203.7	7B	39729726
7A	Cluster_72|Contig6|complementarySeq@2446	266.5	NA	NA
7B	Cluster_72|Contig6|likelySeq@1127	203.7	7B	244653712
7A	Cluster_72|Contig8|original@1836	266.5	NA	NA
7A	Cluster_72|Contig9|original@556	266.5	7B	244653712
4A	Cluster_7200|Contig1|original@234	112.6	4A	8158998
4B	Cluster_7200|Contig2|original@265	37.1	4B	6205050
4B	Cluster_7201|Contig1|original@2545	138.2	4B	298443911
4B	Cluster_7201|Contig1|original@2450	138.2	4B	298443911
4A	Cluster_7201|Contig2|original@503	166.1	NA	NA
4B	Cluster_7201|Contig3|original@492	138.2	4B	298443911
5B	Cluster_7202|Contig1|original@738	173.2	NA	NA
7A	Cluster_7210|Contig3|original@286	281.1	NA	NA
7A	Cluster_7217|Contig3|complementarySeq@543	61.7	4A	190741628
4A	Cluster_7217|Contig3|likelySeq@555	178.7	4A	190741628
4A	Cluster_722|Contig1|original@7506	109.4	4A	147379507
4A	Cluster_722|Contig5|original@2953	109.4	4A	147379507
3A	Cluster_7220|Contig2|complementarySeq@1204	7.39999999999998	3A	2438728
3A	Cluster_7220|Contig3|complementarySeq@446	7.39999999999998	3B	18341304
3A	Cluster_7220|Contig3|likelySeq@1157	7.39999999999998	3A	2438728
3B	Cluster_7226|Contig1|original@224	100.8	NA	NA
6B	Cluster_7228|Contig1|complementarySeq@881	208.7	6B	201759220
6B	Cluster_7228|Contig1|likelySeq@881	208	6A	204544311
1B	Cluster_7231|Contig4|original@542	73.4	6A	126199546
2A	Cluster_7231|Contig6|original@884	231.6	6A	126199546
2A	Cluster_7231|Contig6|original@734	231.6	6A	126199546
5A	Cluster_7237|Contig1|original@406	89	NA	NA
6B	Cluster_7237|Contig3|original@1450	60.2	NA	NA
1B	Cluster_724|Contig2|original@783	58	1B	106040000
6B	Cluster_7240|Contig2|complementarySeq@1784	2.2	6B	238728
1B	Cluster_7241|Contig2|original@333	98.6	1B	160813819
1B	Cluster_7249|Contig1|original@1072	226.2	1B	291493890
1B	Cluster_7249|Contig3|original@723	226.2	1A	245559530
1B	Cluster_7249|Contig4|original@293	226.2	1B	291493890
2A	Cluster_7251|Contig1|original@542	222.3	2A	241261329
2B	Cluster_7251|Contig2|original@422	232.6	2B	325119377
3B	Cluster_7256|Contig1|original@650	242.9	3B	747855626
2A	Cluster_7258|Contig1|original@506	215.7	NA	NA
2A	Cluster_726|Contig1|original@965	112.7	2A	85645129
2A	Cluster_726|Contig2|original@307	112.7	2A	85645129
3B	Cluster_7268|Contig1|original@608	269.8	NA	NA
3B	Cluster_7268|Contig1|original@765	270.1	NA	NA
3B	Cluster_727|Contig1|complementarySeq@941	242.9	3A	180633621
5A	Cluster_7271|Contig2|original@180	43.2	5B	8950249
7A	Cluster_7272|Contig2|original@181	99.8	NA	NA
4B	Cluster_7275|Contig2|likelySeq@586	89.6	NA	NA
4B	Cluster_7275|Contig3|complementarySeq@619	89.2	4B	193581012
5A	Cluster_7277|Contig4|original@1049	221.7	NA	NA
3A	Cluster_7280|Contig1|original@1150	72.4	NA	NA
3A	Cluster_7280|Contig1|original@1013	72.8	NA	NA
3B	Cluster_7280|Contig2|original@1086	85.6	3B	123608269
4B	Cluster_7289|Contig2|original@996	84.6	NA	NA
4B	Cluster_7289|Contig2|original@1078	84.6	NA	NA
3A	Cluster_7291|Contig2|original@938	149.5	3A	161924547
3A	Cluster_7291|Contig2|original@1208	151.6	3A	161924547
3A	Cluster_7291|Contig3|original@166	149.5	3A	161924547
3A	Cluster_7291|Contig3|original@525	151.6	3A	161924547
3B	Cluster_7291|Contig5|original@1073	170.3	3B	636657410
3B	Cluster_7291|Contig5|original@1127	170.5	3B	636657410
3B	Cluster_7291|Contig6|original@1052	169.9	3B	636657410
4A	Cluster_7298|Contig1|original@218	12.7	NA	NA
4B	Cluster_7298|Contig2|original@297	131.7	4B	297859508
1A	Cluster_73|Contig3|likelySeq@675	65	1A	30114338
1A	Cluster_73|Contig4|likelySeq@729	65	1B	114472962
1A	Cluster_73|Contig5|likelySeq@1874	65	1B	114472962
7A	Cluster_730|Contig2|complementarySeq@3177	138.1	NA	NA
2A	Cluster_7301|Contig1|original@1727	93.7	2A	136809570
2A	Cluster_7301|Contig2|likelySeq@1712	93.7	2B	54335532
3B	Cluster_7303|Contig1|original@270	162.9	NA	NA
5A	Cluster_7305|Contig1|original@642	247.8	5A	123073999
5A	Cluster_7305|Contig2|likelySeq@1057	247.8	5A	123073999
2B	Cluster_7309|Contig1|complementarySeq@1186	231	2B	317926629
2A	Cluster_7309|Contig1|likelySeq@1027	215.2	2B	317926629
5A	Cluster_731|Contig2|original@3784	262.8	NA	NA
1B	Cluster_7310|Contig1|original@2860	42.9	1B	23789341
5B	Cluster_7318|Contig1|original@607	21.9	NA	NA
5B	Cluster_732|Contig2|original@1485	155.2	5B	205567599
5B	Cluster_732|Contig2|original@846	155.5	5B	205567599
3A	Cluster_7324|Contig2|original@263	153.1	3A	163139739
3A	Cluster_7327|Contig2|original@1360	128.3	3A	151125505
4B	Cluster_733|Contig1|complementarySeq@3007	84.6	4B	145955264
4B	Cluster_733|Contig1|complementarySeq@3254	84.6	4B	145955264
5B	Cluster_7339|Contig2|original@361	160.1	5B	209247089
4A	Cluster_734|Contig3|original@1342	45.4	NA	NA
1B	Cluster_7344|Contig2|original@1267	62.8	1B	76778901
5A	Cluster_7348|Contig2|original@163	231.7	5A	116741464
5B	Cluster_7348|Contig3|original@258	192.9	NA	NA
7A	Cluster_7349|Contig1|original@263	148	NA	NA
4B	Cluster_735|Contig5|original@2778	57.3	4A	146397258
6A	Cluster_7350|Contig2|original@164	130.4	NA	NA
2B	Cluster_7362|Contig2|original@870	144.9	NA	NA
6B	Cluster_7363|Contig2|likelySeq@742	119.5	6A	161741806
2A	Cluster_7369|Contig1|original@2474	142.3	2A	215957833
2A	Cluster_7369|Contig2|original@542	142.3	2A	215957833
6B	Cluster_737|Contig1|original@690	55.2	6B	12685036
6B	Cluster_737|Contig10|original@707	55.2	6B	12685036
6B	Cluster_737|Contig2|original@681	55.2	6B	12685036
6B	Cluster_737|Contig4|original@707	55.2	6B	12685036
5A	Cluster_7375|Contig1|original@213	195.6	5B	207143725
1B	Cluster_7376|Contig1|original@807	116.3	NA	NA
1A	Cluster_7376|Contig2|original@115	100.8	NA	NA
2B	Cluster_7380|Contig2|original@314	170.3	2B	229901855
5A	Cluster_7389|Contig1|complementarySeq@816	276.3	5A	128738713
1A	Cluster_739|Contig2|original@168	131.4	NA	NA
2A	Cluster_7393|Contig2|original@266	94.5	2B	61689640
5A	Cluster_7394|Contig5|original@309	310.6	NA	NA
5A	Cluster_7394|Contig5|original@683	311.1	NA	NA
5A	Cluster_74|Contig5|original@1423	210.4	5A	107117848
3A	Cluster_740|Contig1|original@1939	162.4	3B	654442397
3A	Cluster_740|Contig2|original@910	162.4	3B	654442397
3A	Cluster_740|Contig2|original@614	159.6	3B	654442397
6B	Cluster_7400|Contig1|original@394	106	6A	167949207
3A	Cluster_7400|Contig2|likelySeq@876	141.9	3A	56389003
3B	Cluster_7405|Contig3|original@335	182.1	3B	663823673
6A	Cluster_7406|Contig1|likelySeq@1608	92.5	6A	163915651
5A	Cluster_7407|Contig1|original@213	220	NA	NA
4A	Cluster_7412|Contig2|original@876	89.9	4A	153584389
4B	Cluster_7416|Contig3|original@167	81.3	NA	NA
1B	Cluster_7417|Contig2|complementarySeq@525	57	1B	56636339
2A	Cluster_7418|Contig1|complementarySeq@1168	102.8	2B	205646680
2A	Cluster_7418|Contig1|likelySeq@1168	102.8	2B	205646680
6A	Cluster_742|Contig3|original@764	42.6	6A	14889001
2B	Cluster_7424|Contig1|original@152	170.3	2B	88009351
4B	Cluster_7425|Contig2|original@196	76	4B	229086708
2B	Cluster_7427|Contig1|complementarySeq@1595	170.3	2B	88002258
5A	Cluster_7428|Contig3|original@3402	46.7	NA	NA
5A	Cluster_7428|Contig3|original@1536	46.7	NA	NA
5A	Cluster_7428|Contig3|original@3241	46.7	NA	NA
5A	Cluster_7428|Contig4|original@844	47.1	NA	NA
5A	Cluster_7428|Contig7|original@959	47.1	NA	NA
5A	Cluster_7429|Contig1|original@1025	214.6	NA	NA
5B	Cluster_7429|Contig2|original@1277	177.5	5B	223307236
1B	Cluster_7436|Contig1|original@251	55	1B	116445041
4B	Cluster_744|Contig1|original@419	84.6	4B	176644886
2B	Cluster_7441|Contig1|complementarySeq@392	87.6	2B	26336195
3B	Cluster_7442|Contig1|original@387	136.7	3B	350808447
4B	Cluster_7443|Contig4|complementarySeq@433	89.2	NA	NA
1A	Cluster_7446|Contig1|likelySeq@110	70.8	1A	33879500
5B	Cluster_7450|Contig2|original@1119	62.2	5B	119804689
5A	Cluster_7457|Contig2|original@320	258.8	NA	NA
3A	Cluster_7458|Contig1|complementarySeq@453	101.1	3A	154062925
1A	Cluster_746|Contig1|original@1488	74.8	1A	46697556
1A	Cluster_746|Contig2|original@271	74.8	1B	184074584
6B	Cluster_7475|Contig1|complementarySeq@566	83.6	6B	100010696
4B	Cluster_7477|Contig1|complementarySeq@890	190	NA	NA
2B	Cluster_7479|Contig2|original@413	199.9	2A	233593116
2B	Cluster_7479|Contig2|original@466	200.7	2A	233593116
2A	Cluster_7479|Contig3|likelySeq@2048	179.7	2A	233593116
4B	Cluster_7482|Contig1|original@594	84.6	4B	124814616
4B	Cluster_7482|Contig3|original@596	84.6	4B	124814616
4A	Cluster_749|Contig1|likelySeq@460	89.9	4B	230553105
4B	Cluster_749|Contig1|likelySeq@1165	74.3	4B	230553105
6B	Cluster_7493|Contig4|original@1041	133.1	6B	169452814
2B	Cluster_7496|Contig1|likelySeq@353	202.8	2B	278456936
5A	Cluster_7497|Contig2|original@393	150.2	NA	NA
2A	Cluster_7500|Contig1|likelySeq@835	133.4	NA	NA
7A	Cluster_7501|Contig2|complementarySeq@579	10.3	NA	NA
5B	Cluster_7503|Contig1|likelySeq@336	21.9	5B	5198324
1A	Cluster_7505|Contig2|original@1212	87.1	NA	NA
5A	Cluster_7508|Contig3|original@1834	24.5	5A	51330091
4B	Cluster_7508|Contig6|original@2720	94.2	5A	51330091
2B	Cluster_751|Contig1|original@2744	138.2	2B	222168755
2B	Cluster_751|Contig12|original@2735	138.2	2A	125260416
2B	Cluster_751|Contig13|original@2786	138.2	2A	125260416
2B	Cluster_751|Contig14|original@3934	138.2	2B	222168755
2B	Cluster_751|Contig15|original@2723	138.2	2B	222168755
2B	Cluster_751|Contig2|original@350	138.2	2A	125260416
2B	Cluster_751|Contig4|original@459	138.2	2B	222168755
2B	Cluster_751|Contig6|original@2748	138.2	2B	222168755
2B	Cluster_751|Contig8|original@2570	138.2	2A	125260416
2B	Cluster_751|Contig9|original@2632	138.2	2B	222168755
7A	Cluster_7514|Contig2|original@456	95.5	7A	24392701
1B	Cluster_7517|Contig2|original@389	126.9	NA	NA
1A	Cluster_7517|Contig3|original@781	108.7	NA	NA
1A	Cluster_7517|Contig5|original@748	108.7	NA	NA
5B	Cluster_7518|Contig2|original@411	49.3	NA	NA
3A	Cluster_7524|Contig2|original@1645	57.7	3B	73390604
3A	Cluster_7524|Contig4|original@385	57.7	3A	13612000
3A	Cluster_7524|Contig5|original@1333	57.7	3B	73390604
1B	Cluster_7527|Contig2|original@1853	96.6	1B	165427369
6B	Cluster_7530|Contig1|original@1019	144.2	NA	NA
4B	Cluster_7532|Contig5|original@456	0.4	4B	1436377
5B	Cluster_7534|Contig1|original@846	147.2	NA	NA
5B	Cluster_7534|Contig1|original@968	147.2	NA	NA
5B	Cluster_7534|Contig3|original@201	147.2	NA	NA
1A	Cluster_7535|Contig1|original@1613	193.7	NA	NA
1B	Cluster_7538|Contig3|complementarySeq@494	55	1B	99902525
1B	Cluster_7538|Contig4|likelySeq@374	55	1B	114809805
2B	Cluster_7544|Contig1|original@437	150.2	2A	78077446
2B	Cluster_7544|Contig2|original@534	150.2	NA	NA
5B	Cluster_7545|Contig1|original@235	100.8	5B	185424801
7A	Cluster_755|Contig1|original@415	112.8	7A	31411042
2B	Cluster_7550|Contig2|original@337	133.4	2B	135953587
2B	Cluster_7550|Contig2|original@478	133.4	2B	135953587
3B	Cluster_7551|Contig1|original@1278	133.2	3B	512768013
3A	Cluster_7551|Contig2|complementarySeq@607	103.1	3A	147323188
4B	Cluster_7553|Contig1|original@72	93.5	4B	133679116
4A	Cluster_7553|Contig2|original@211	77.2	4B	133679116
4B	Cluster_7553|Contig3|original@2337	94.2	4B	133679116
4B	Cluster_7553|Contig4|original@267	94.2	4B	133679116
2A	Cluster_7554|Contig1|original@497	69.9	NA	NA
2A	Cluster_7554|Contig4|original@487	69.9	NA	NA
4A	Cluster_7555|Contig2|original@513	173.3	4A	184972869
6B	Cluster_7556|Contig1|complementarySeq@176	173.2	NA	NA
1A	Cluster_7561|Contig1|likelySeq@408	41.4	1A	6231703
1A	Cluster_7561|Contig2|complementarySeq@276	41.4	1B	10398408
1A	Cluster_7561|Contig2|likelySeq@152	41.4	1B	10398408
3B	Cluster_7563|Contig2|original@691	89.6	3B	391615818
3A	Cluster_7565|Contig1|original@258	236.7	NA	NA
4A	Cluster_7569|Contig1|likelySeq@271	67.3	4A	28400992
3B	Cluster_7571|Contig2|original@834	126.8	3B	494521070
3A	Cluster_7572|Contig1|original@276	171.2	NA	NA
3A	Cluster_7572|Contig2|original@1855	171.6	3B	672048310
3B	Cluster_7572|Contig3|original@1941	182.1	3B	672048310
3B	Cluster_7572|Contig3|original@1962	182.1	3B	672048310
6B	Cluster_7575|Contig1|complementarySeq@1339	168.9	6B	192581648
6A	Cluster_7575|Contig1|likelySeq@178	161.9	6A	199000240
7A	Cluster_7576|Contig1|original@1935	138.1	NA	NA
3A	Cluster_758|Contig2|original@229	81.3	NA	NA
2B	Cluster_7580|Contig2|original@1334	231	NA	NA
3A	Cluster_7581|Contig2|complementarySeq@368	84	NA	NA
7A	Cluster_7582|Contig1|original@192	140.8	7B	99302650
1A	Cluster_7589|Contig1|likelySeq@330	111.6	1A	217563197
1A	Cluster_7589|Contig2|likelySeq@259	111.6	1B	236451489
3B	Cluster_7590|Contig1|original@228	162.9	NA	NA
7A	Cluster_7591|Contig2|original@110	268.4	7A	175526193
4B	Cluster_7592|Contig1|complementarySeq@144	66.6	4B	15258792
7A	Cluster_7596|Contig1|original@1703	128.8	7A	65224969
5A	Cluster_7599|Contig1|original@869	111.9	NA	NA
5B	Cluster_7599|Contig2|original@1110	83.1	NA	NA
5B	Cluster_7599|Contig2|original@659	83.3	NA	NA
3B	Cluster_760|Contig1|likelySeq@1101	150	3B	294647530
3B	Cluster_760|Contig2|complementarySeq@119	151.6	3A	151487269
3B	Cluster_760|Contig2|likelySeq@119	151.6	3A	151487269
3B	Cluster_7602|Contig1|original@1703	224	3B	735212608
6B	Cluster_7603|Contig2|original@256	9.9	6A	2230839
5A	Cluster_7607|Contig1|original@238	303.4	5A	139376895
4B	Cluster_7607|Contig2|original@82	162.6	4B	310595097
3A	Cluster_7611|Contig1|complementarySeq@184	181.2	3A	168346290
3A	Cluster_7611|Contig1|likelySeq@1130	183.1	3A	168346290
3B	Cluster_7611|Contig2|complementarySeq@649	188.8	3B	689798843
3A	Cluster_7611|Contig2|likelySeq@1131	183.1	3B	689798843
3B	Cluster_7611|Contig3|complementarySeq@471	188.8	3B	689798843
3B	Cluster_7611|Contig3|likelySeq@471	188.6	3B	689798843
1A	Cluster_7614|Contig1|complementarySeq@475	74.8	NA	NA
1B	Cluster_7614|Contig1|complementarySeq@1258	89	NA	NA
1B	Cluster_7614|Contig1|likelySeq@1258	89	NA	NA
1A	Cluster_7614|Contig2|complementarySeq@207	75.3	1A	200335449
3A	Cluster_7615|Contig1|complementarySeq@2992	112.6	3A	138367296
7B	Cluster_7617|Contig4|original@846	68.8	7B	76882091
5B	Cluster_762|Contig1|original@2747	199.8	5B	234991411
5A	Cluster_762|Contig2|original@409	235.4	5A	120751739
5A	Cluster_762|Contig2|original@421	236.3	5A	120751739
6A	Cluster_7620|Contig2|original@1076	92.5	6A	168017615
6A	Cluster_7623|Contig3|original@13	28.9	NA	NA
6B	Cluster_7623|Contig4|original@110	46.3	NA	NA
5A	Cluster_7625|Contig2|original@914	70.2	NA	NA
6B	Cluster_7626|Contig2|original@1831	15.3	6B	4289153
6B	Cluster_7626|Contig2|original@1722	15.3	6B	4289153
2B	Cluster_7629|Contig1|original@569	171.6	2B	248214937
6A	Cluster_7635|Contig1|original@1437	3.89999999999998	6A	1039473
6B	Cluster_7635|Contig2|original@743	4	6B	932256
7B	Cluster_7636|Contig1|original@1632	90.2	7B	199629975
3B	Cluster_7638|Contig1|original@549	4.70000000000005	3B	5928673
2A	Cluster_7640|Contig2|original@122	107.5	NA	NA
1B	Cluster_7643|Contig3|original@2499	62.8	1B	59838926
4A	Cluster_7656|Contig1|complementarySeq@233	92.6	4A	163034705
2A	Cluster_7658|Contig2|original@860	164.9	NA	NA
4A	Cluster_766|Contig1|original@1821	59.3	4A	57142894
4A	Cluster_766|Contig2|original@2448	59.3	4B	259118106
4B	Cluster_7660|Contig1|likelySeq@541	84.6	4B	198706577
6B	Cluster_7666|Contig2|original@281	86.3	6B	96030689
4A	Cluster_7669|Contig1|original@276	86	4B	146976828
4A	Cluster_767|Contig1|original@142	59.3	4A	52489008
2A	Cluster_767|Contig3|original@451	269.8	2A	249246301
2B	Cluster_767|Contig5|original@408	289	NA	NA
4B	Cluster_7675|Contig1|complementarySeq@769	143.8	5A	131811867
5A	Cluster_7675|Contig1|likelySeq@1445	276.3	5A	131811867
4B	Cluster_7675|Contig2|original@301	143.8	4B	282801234
5B	Cluster_7679|Contig2|original@261	232.4	5A	128243627
5B	Cluster_7679|Contig3|original@602	232.4	NA	NA
4A	Cluster_7680|Contig1|original@1698	34.6	4A	2826247
4A	Cluster_7680|Contig1|original@1064	34.6	4A	2826247
4A	Cluster_7680|Contig2|original@718	34.6	4B	267410310
4A	Cluster_7680|Contig3|original@463	34.6	4B	267410310
4A	Cluster_7680|Contig4|original@674	36.2	4B	267410310
4A	Cluster_7680|Contig5|original@1685	34.6	4B	267410310
4A	Cluster_7680|Contig6|original@572	34.6	4A	2826247
7A	Cluster_7685|Contig3|likelySeq@1727	133.2	7A	105692752
1A	Cluster_7691|Contig1|complementarySeq@605	86.8	1A	190068019
2A	Cluster_7693|Contig3|original@258	246.5	NA	NA
6A	Cluster_7694|Contig2|original@144	97.1	6A	171018503
3B	Cluster_7697|Contig1|likelySeq@437	120	3B	471752845
5A	Cluster_7698|Contig1|original@172	203.8	NA	NA
3A	Cluster_7699|Contig1|complementarySeq@819	82.4	NA	NA
3B	Cluster_7699|Contig1|likelySeq@301	101.8	NA	NA
5B	Cluster_7706|Contig2|complementarySeq@514	219.3	5B	252552408
1B	Cluster_7708|Contig1|original@1399	21	1B	7643904
1B	Cluster_7708|Contig2|original@1072	21	1B	7643904
1B	Cluster_7708|Contig4|original@1154	21	1A	3799020
1A	Cluster_771|Contig1|original@2048	74.8	1B	131596034
1A	Cluster_771|Contig2|original@941	74.8	1A	84310167
1A	Cluster_771|Contig2|original@787	74.8	1A	84310167
1B	Cluster_771|Contig3|original@3030	85	1B	131596034
6A	Cluster_7712|Contig1|complementarySeq@970	28.9	NA	NA
6B	Cluster_7712|Contig1|likelySeq@571	46.3	NA	NA
6A	Cluster_7712|Contig2|original@567	28.8	6A	7197446
4B	Cluster_7715|Contig1|original@1085	97.2	4A	48167844
4B	Cluster_7718|Contig1|complementarySeq@1275	129.1	NA	NA
4B	Cluster_7718|Contig2|complementarySeq@395	129.1	NA	NA
1B	Cluster_7719|Contig1|complementarySeq@318	78.9	1B	141712360
2B	Cluster_7720|Contig2|original@388	98.7	2B	31025977
1A	Cluster_7725|Contig5|original@540	0.599999999999994	1A	100519
3B	Cluster_7725|Contig8|original@1732	2.30000000000001	3B	1864715
3B	Cluster_7725|Contig8|original@1725	2.70000000000005	3B	1864715
7A	Cluster_7728|Contig2|original@889	82.5	7A	19565803
7A	Cluster_7728|Contig2|original@358	82.5	7A	19565803
1B	Cluster_773|Contig2|original@935	121.3	1B	225729199
1B	Cluster_773|Contig4|original@2052	121.3	1B	225729199
3A	Cluster_7730|Contig1|complementarySeq@244	80.8	NA	NA
6B	Cluster_7731|Contig13|original@494	132.4	1A	143636365
2B	Cluster_7735|Contig1|complementarySeq@212	144.9	NA	NA
7A	Cluster_7737|Contig1|original@82	130.8	NA	NA
1B	Cluster_774|Contig1|original@269	16.5	1B	6023634
2A	Cluster_7741|Contig1|original@390	215.2	2A	237955082
2B	Cluster_7742|Contig1|likelySeq@2417	203.8	2A	234182265
6B	Cluster_7747|Contig2|likelySeq@1648	46.1	NA	NA
6B	Cluster_7747|Contig4|original@2028	45.8	NA	NA
6B	Cluster_7747|Contig6|original@2104	45.8	6A	6628273
7B	Cluster_7753|Contig3|original@458	101.3	7B	165208373
1B	Cluster_7758|Contig3|original@211	132.2	NA	NA
2A	Cluster_7759|Contig1|original@600	192.8	2B	280762389
2A	Cluster_776|Contig1|original@1843	222.6	2B	324791668
2B	Cluster_776|Contig2|likelySeq@321	232.6	2B	324791668
4B	Cluster_7764|Contig1|original@586	79.5	4B	201069126
5A	Cluster_7768|Contig1|original@1806	196.1	5A	103323221
5B	Cluster_7768|Contig2|original@432	160.5	NA	NA
3A	Cluster_777|Contig2|original@126	86.1	3A	107347392
4A	Cluster_7775|Contig2|original@288	111.6	4A	20641843
4A	Cluster_7775|Contig2|original@240	111.6	4A	20641843
2A	Cluster_778|Contig1|original@1012	98.2	2A	155327335
1B	Cluster_7781|Contig2|original@1020	70.6	1B	202405329
4B	Cluster_7783|Contig1|likelySeq@305	89.6	4B	174507473
2A	Cluster_7794|Contig3|original@1802	98.2	2A	69236625
7A	Cluster_7795|Contig1|original@710	61.7	NA	NA
7A	Cluster_7795|Contig3|original@1141	61.7	NA	NA
2A	Cluster_78|Contig1|original@3020	158	NA	NA
2A	Cluster_78|Contig2|original@2377	158	NA	NA
2A	Cluster_78|Contig4|original@322	158	NA	NA
2A	Cluster_78|Contig5|original@408	158	2B	252969602
2A	Cluster_78|Contig7|original@2943	158	NA	NA
2A	Cluster_78|Contig7|original@1351	158.3	NA	NA
4A	Cluster_780|Contig2|original@831	198.4	4A	200997194
2B	Cluster_7804|Contig4|original@189	268.5	2B	336678620
3A	Cluster_7805|Contig1|complementarySeq@948	247.3	NA	NA
3B	Cluster_7805|Contig1|likelySeq@873	262.9	NA	NA
3B	Cluster_7805|Contig1|likelySeq@1091	262.9	NA	NA
6A	Cluster_7807|Contig1|original@1434	96.4	6A	170562503
6B	Cluster_7807|Contig3|original@1180	111.3	NA	NA
5A	Cluster_7814|Contig1|complementarySeq@344	317.6	NA	NA
5A	Cluster_7814|Contig1|complementarySeq@109	316.7	NA	NA
5A	Cluster_7814|Contig1|likelySeq@109	316.7	NA	NA
4B	Cluster_7814|Contig2|original@233	191.2	NA	NA
3A	Cluster_7816|Contig3|original@186	123	NA	NA
4B	Cluster_7817|Contig2|original@785	89.6	4B	107075910
1B	Cluster_7820|Contig4|original@273	219.4	1B	293115430
4A	Cluster_7821|Contig1|complementarySeq@233	180.2	4A	197303600
7A	Cluster_7821|Contig1|likelySeq@265	59.4	NA	NA
1A	Cluster_7824|Contig3|original@919	70.8	NA	NA
1A	Cluster_7824|Contig4|original@937	70.8	NA	NA
1A	Cluster_7824|Contig5|original@932	70.8	NA	NA
2A	Cluster_7829|Contig1|original@431	170.2	NA	NA
2B	Cluster_7830|Contig1|original@1100	95.5	2B	36131788
5A	Cluster_7833|Contig2|complementarySeq@309	72	NA	NA
1B	Cluster_7834|Contig1|original@586	70.4	NA	NA
5A	Cluster_7836|Contig2|likelySeq@398	80.6	5A	45648555
3B	Cluster_7842|Contig3|original@222	98.4	3B	391369203
6B	Cluster_785|Contig1|original@256	65.9	6A	27811823
6A	Cluster_7850|Contig2|original@305	110.3	NA	NA
4A	Cluster_7852|Contig1|original@944	77.2	4A	94741845
1B	Cluster_7855|Contig1|complementarySeq@617	95.8	1B	149019761
2A	Cluster_7859|Contig1|original@2317	107.5	2A	107517535
5B	Cluster_7861|Contig1|original@1806	244.6	5B	264144349
3B	Cluster_7862|Contig1|likelySeq@405	101.6	3B	217287258
6B	Cluster_7863|Contig1|likelySeq@1066	95.4	6B	39389281
7A	Cluster_7865|Contig1|original@1055	132.1	NA	NA
2B	Cluster_7869|Contig1|complementarySeq@1415	171.2	2A	203137995
4B	Cluster_7870|Contig2|original@2293	89.6	4B	105312566
4A	Cluster_7873|Contig1|complementarySeq@73	59.3	NA	NA
6A	Cluster_7878|Contig3|original@348	160.7	6A	199672949
6B	Cluster_7878|Contig4|original@751	169.3	6B	193494195
4A	Cluster_7881|Contig1|complementarySeq@1907	142.6	NA	NA
5B	Cluster_7881|Contig1|likelySeq@135	262.6	NA	NA
5B	Cluster_7881|Contig1|likelySeq@1817	262.6	NA	NA
5B	Cluster_7881|Contig1|likelySeq@978	262.6	NA	NA
5B	Cluster_7882|Contig1|original@2452	278.5	NA	NA
7B	Cluster_7882|Contig4|original@526	1	NA	NA
2A	Cluster_7884|Contig1|original@2177	93.7	2A	166653644
2A	Cluster_7884|Contig1|original@2175	93.7	2A	166653644
2B	Cluster_7884|Contig2|original@893	122.2	2A	166653644
2B	Cluster_7884|Contig3|original@177	122.2	2B	59138979
2B	Cluster_7884|Contig4|original@1780	122.2	2A	166653644
2A	Cluster_7884|Contig5|original@877	93.7	2B	59138979
1B	Cluster_7886|Contig1|likelySeq@188	23.1	1B	11139359
7B	Cluster_7888|Contig1|likelySeq@124	147.6	7A	161364867
3A	Cluster_789|Contig3|likelySeq@252	80.5	3B	212254653
6A	Cluster_79|Contig10|likelySeq@410	34.6	6A	15192845
5B	Cluster_79|Contig14|complementarySeq@399	155.2	5B	207326684
6A	Cluster_79|Contig22|original@229	34.6	6A	14422560
2A	Cluster_79|Contig24|original@251	164.9	1B	224647138
5B	Cluster_79|Contig36|likelySeq@7	155.2	5B	204386743
2A	Cluster_79|Contig4|original@105	173.8	NA	NA
6B	Cluster_79|Contig41|complementarySeq@216	54.7	6A	14422560
6A	Cluster_79|Contig44|original@210	41.8	NA	NA
7A	Cluster_7905|Contig2|original@1117	175.2	NA	NA
2A	Cluster_7909|Contig3|likelySeq@398	98.2	2A	180854678
3B	Cluster_7911|Contig1|original@116	101.6	3B	216222016
3A	Cluster_7911|Contig3|original@1325	80.5	3B	216222016
5B	Cluster_7912|Contig1|original@193	80.8	5B	155886832
2B	Cluster_7914|Contig2|original@126	179.8	NA	NA
2B	Cluster_7914|Contig2|original@211	183.8	NA	NA
7A	Cluster_7915|Contig2|original@822	280.7	7A	178679299
7B	Cluster_7915|Contig3|complementarySeq@1597	221.1	7A	178679299
7B	Cluster_7915|Contig3|likelySeq@2051	221.1	7B	250151720
3B	Cluster_7916|Contig2|original@363	117	3B	461140325
3A	Cluster_7918|Contig1|likelySeq@177	84	3B	343960937
3B	Cluster_7921|Contig1|original@624	226.8	3B	736730477
